82,83,86,87,90,91,94,95,98,99,1,2,3,4,5,6,7,8,9,10,91,92,93,94,95,96,97,98,99,100,1,2,3,4,5,6,7,8,9,10,91,92,93,94,95,96,97,98,99,100,1,2,3,4,5,6,7,8,9,10,91,92,93,94,95,96,97,98,99,100,1,2,3,4,5,6,7,8,9,10,91,92,93,94,95,96,97,98,99,100,1,2,3,4,5,6,7,8,9,10
81,84,85,88,89,92,93,96,97,100,20,19,18,17,16,15,14,13,12,11,90,89,88,87,86,85,84,83,82,81,20,19,18,17,16,15,14,13,12,11,90,89,88,87,86,85,84,83,82,81,20,19,18,17,16,15,14,13,12,11,90,89,88,87,86,85,84,83,82,81,20,19,18,17,16,15,14,13,12,11,90,89,88,87,86,85,84,83,82,81,20,19,18,17,16,15,14,13,12,11
80,79,78,77,76,75,74,73,72,71,21,22,23,24,25,26,27,28,29,30,71,72,73,74,75,76,77,78,79,80,21,22,23,24,25,26,27,28,29,30,71,72,73,74,75,76,77,78,79,80,21,22,23,24,25,26,27,28,29,30,71,72,73,74,75,76,77,78,79,80,21,22,23,24,25,26,27,28,29,30,71,72,73,74,75,76,77,78,79,80,21,22,23,24,25,26,27,28,29,30
61,62,63,64,65,66,67,68,69,70,40,39,38,37,36,35,34,33,32,31,70,69,68,67,66,65,64,63,62,61,40,39,38,37,36,35,34,33,32,31,70,69,68,67,66,65,64,63,62,61,40,39,38,37,36,35,34,33,32,31,70,69,68,67,66,65,64,63,62,61,40,39,38,37,36,35,34,33,32,31,70,69,68,67,66,65,64,63,62,61,40,39,38,37,36,35,34,33,32,31
60,59,58,57,56,55,54,53,52,51,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,41,42,43,44,45,46,47,48,49,50
41,42,43,44,45,46,47,48,49,50,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,60,59,58,57,56,55,54,53,52,51
40,39,38,37,36,35,34,33,32,31,61,62,63,64,65,66,67,68,69,70,31,32,33,34,35,36,37,38,39,40,61,62,63,64,65,66,67,68,69,70,31,32,33,34,35,36,37,38,39,40,61,62,63,64,65,66,67,68,69,70,31,32,33,34,35,36,37,38,39,40,61,62,63,64,65,66,67,68,69,70,31,32,33,34,35,36,37,38,39,40,61,62,63,64,65,66,67,68,69,70
21,22,23,24,25,26,27,28,29,30,80,79,78,77,76,75,74,73,72,71,30,29,28,27,26,25,24,23,22,21,80,79,78,77,76,75,74,73,72,71,30,29,28,27,26,25,24,23,22,21,80,79,78,77,76,75,74,73,72,71,30,29,28,27,26,25,24,23,22,21,80,79,78,77,76,75,74,73,72,71,30,29,28,27,26,25,24,23,22,21,80,79,78,77,76,75,74,73,72,71
20,19,18,17,16,15,14,13,12,11,81,82,83,84,85,86,87,88,89,90,11,12,13,14,15,16,17,18,19,20,81,82,83,84,85,86,87,88,89,90,11,12,13,14,15,16,17,18,19,20,81,82,83,84,85,86,87,88,89,90,11,12,13,14,15,16,17,18,19,20,81,82,83,84,85,86,87,88,89,90,11,12,13,14,15,16,17,18,19,20,81,82,83,84,85,86,87,88,89,90
1,2,3,4,5,6,7,8,9,10,100,99,98,97,96,95,94,93,92,91,10,9,8,7,6,5,4,3,2,1,100,99,98,97,96,95,94,93,92,91,10,9,8,7,6,5,4,3,2,1,100,99,98,97,96,95,94,93,92,91,10,9,8,7,6,5,4,3,2,1,100,99,98,97,96,95,94,93,92,91,10,9,8,7,6,5,4,3,2,1,100,99,98,97,96,95,94,93,92,91
